Verband,Regionalverband,Verein,Amtssprache,Besetzung
Aargauischer Musikverband,,Brass Band Strengelbach-Mühlethal,DE,BB
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Aadorf,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Affeltrangen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Altnau,DE,H
Thurgauer Kantonal-Musikverband,,Stadtharmonie Amriswil,DE,H
Thurgauer Kantonal-Musikverband,,Stadtmusik Arbon,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Berg,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Berlingen,DE,F/B
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Eintracht Bichelsee - Balterswil,DE,H
Thurgauer Kantonal-Musikverband,,Stadtmusik Bischofszell,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Bürglen,DE,H
Thurgauer Kantonal-Musikverband,,Stadtmusik Diessenhofen,DE,H
Thurgauer Kantonal-Musikverband,,Metallharmonie Dussnang - Oberwangen,DE,H
Thurgauer Kantonal-Musikverband,,Brass Band Erlen,DE,BB
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Ermatingen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Eschenz,DE,H
Thurgauer Kantonal-Musikverband,,Bürgermusik Ettenhausen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Concordia Fischingen,DE,BB
Thurgauer Kantonal-Musikverband,,Stadtmusik Frauenfeld,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Eintracht Güttingen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Brass Band Hauptwil,DE,BB
Thurgauer Kantonal-Musikverband,,Brass Band Musikgesellschaft Hörhausen,DE,BB
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Hugelshofen,DE,BB
Thurgauer Kantonal-Musikverband,,Musikverein Islikon-Kefikon,DE,H
